Product Name,Product Price,Product Ratings,Product Reviews,BRAND
"boAt Rockerz 480 w/ Beast Mode, RGB LEDs(6 Light Modes)..."," Rs. 1,599 ","2,644",4.1,boAt
"GOBOULT (previously Boult) Fluid X 60H Battery, 40mm Dr..."," Rs. 2,299 ","13,158",4.1,GOBOULT
Frontech Gaming Headset with RGB Lights | 50mm Driver |..., Rs. 891 ,3,2.7,Frontech
Unix Cool Look Music Lover Studio Podcast-Gaming-Online..., Rs. 942 ,9,4.3,Unix
TABARET Cool Stylish Bluetooth Headset & Waterproof Act..., Rs. 265 ,234,4.4,TABARET
"TRIGGR Trinity 2 with Dual Pairing, ENC, Fast Charge, 5...", Rs. 799 ,"4,064",4,TRIGGR
"boAt Rockerz 480 w/ Beast Mode, RGB LEDs(6 Light Modes)..."," Rs. 1,599 ","2,644",4.1,boAt
"GUGGU P9 Wireless, 5.1 Bluetooth Headphones Over Ear Wi...", Rs. 557 ,"4,064",4,GUGGU
"GUGGU P9 Wireless, 5.1 Bluetooth Headphones Over Ear Wi...", Rs. 557 ,"75,201",3.7,GUGGU
FRONY Bluetooth Headset with 12 Hours of Wireless Playb..., Rs. 545 ,"6,578",3.7,FRONY
"boAt Rockerz 480 w/ Beast Mode, RGB LEDs(6 Light Modes)..."," Rs. 1,599 ","2,644",4.1,boAt
"GOBOULT (previously Boult) Fluid X 60H Battery, 40mm Dr..."," Rs. 2,299 ","13,158",4.1,GOBOULT
YAROH B45_SH-12 Wireless Bluetooth Over the Ear Headpho..., Rs. 463 ,28,3.8,YAROH
"TWS HD Sound Bluetooth Headset with Foldable Ear Cups, ...", Rs. 495 ,"71,239",4,TWS
FRONY Wireless Gaming Sports Headphones Stereo With SD ..., Rs. 370 ,0,0,FRONY
"TRIGGR Trinity 2 with Dual Pairing, ENC, Fast Charge, 5...", Rs. 799 ,"4,064",4,TRIGGR
"boAt Rockerz 480 w/ Beast Mode, RGB LEDs(6 Light Modes)..."," Rs. 1,599 ","2,644",4.1,boAt
YAROH A50_SH-12 Wireless Bluetooth Over the Ear Headpho..., Rs. 498 ,"2,340",4,YAROH
"FRONY P9 Wireless, 5.1 Bluetooth Headphones Over Ear Wi...", Rs. 557 ,"1,36,205",3.8,FRONY
GUGGU SH12 Wireless (Portable Bluetooth Headphone) With..., Rs. 553 ,0,0,GUGGU
"TRIGGR Kraken X4 with 13mm Drivers, 40ms Latency, ENC, ...", Rs. 799 ,"20,710",4,TRIGGR
"boAt Rockerz 480 w/ Beast Mode, RGB LEDs(6 Light Modes)..."," Rs. 1,599 ","2,644",4.1,boAt
GUGGU SH12 Wireless (Portable Bluetooth Headphone) With..., Rs. 553 ,"13,158",4.1,GUGGU
GUGGU B96_SH-12 Wireless Bluetooth Over the Ear Headpho..., Rs. 529 ,"4,064",4,GUGGU
"GUGGU SH12 Wireless Headphone, BT5.1 Headphones With 48...", Rs. 538 ,0,0,GUGGU
Caidea TW400 Aristo 32dB Active Noise Cancellation 75H*..., Rs. 449 ,815,3.6,Caidea
"boAt Rockerz 480 w/ Beast Mode, RGB LEDs(6 Light Modes)..."," Rs. 1,599 ","2,644",4.1,boAt
"ZEBRONICS SILENCIO 111 (Duke 3), Hybrid ANC 50dB, 55H*B..."," Rs. 2,999 ",201,3.6,ZEBRONICS
YAROH Wireless Bluetooth Stereo Headphone and Noise Can..., Rs. 626 ,9,2.7,YAROH
house of common Modern Wireless Headset with Mic for Di..., Rs. 492 ,"2,427",4.4,house
"TRIGGR Kraken X4 with 13mm Drivers, 40ms Latency, ENC, ...", Rs. 799 ,"20,710",4,TRIGGR
"boAt Rockerz 480 w/ Beast Mode, RGB LEDs(6 Light Modes)..."," Rs. 1,599 ","2,644",4.1,boAt
HP X1000 Bluetooth Gaming," Rs. 4,859 ",49,3.3,HP
MAGIC Magic-MG-HD-S460 Bluetooth," Rs. 1,316 ",565,3.9,MAGIC
"Skullcandy Crusher ANC 2 4-Mic Adjustable Sensory Bass,..."," Rs. 19,999 ",124,4.4,Skullcandy
Caidea TW400 Aristo 32dB Active Noise Cancellation 75H*..., Rs. 449 ,815,3.6,Caidea
"boAt Rockerz 480 w/ Beast Mode, RGB LEDs(6 Light Modes)..."," Rs. 1,599 ","2,644",4.1,boAt
TWS HD Sound Bluetooth Headphones with Rotating Ear Cup..., Rs. 447 ,"2,340",4,TWS
Beats MRJ72ZM/A Bluetooth," Rs. 23,999 ",12,3.7,Beats
"TWS Bluetooth Headset with HD Audio, Rotating Ear Cups,...", Rs. 442 ,0,0,TWS
"TRIGGR Kraken X4 with 13mm Drivers, 40ms Latency, ENC, ...", Rs. 799 ,"20,710",4,TRIGGR
"boAt Rockerz 480 w/ Beast Mode, RGB LEDs(6 Light Modes)..."," Rs. 1,599 ","2,644",4.1,boAt
TWS Wireless Headphones with Aux Compatibility and 360-..., Rs. 447 ,"13,158",4.1,TWS
FRONY Premium (Bluetooth Headset) with Noise Cancelatio..., Rs. 527 ,"4,064",4,FRONY
"TWS Bluetooth Headset with HD Audio, Rotating Ear Cups,...", Rs. 447 ,0,0,TWS
Caidea TW400 Aristo 32dB Active Noise Cancellation 75H*..., Rs. 449 ,815,3.6,Caidea
"boAt Rockerz 480 w/ Beast Mode, RGB LEDs(6 Light Modes)..."," Rs. 1,599 ","2,644",4.1,boAt
GUGGU C29_SH-12 Bluetooth Over-Ear Headphones with Mic ..., Rs. 569 ,"2,340",4,GUGGU
FRONY I61_SH-12 Bluetooth Over-Ear Headphones with Mic ..., Rs. 529 ,"1,654",3.8,FRONY
TWS Bluetooth Wireless Gaming Headset with HD Audio and..., Rs. 492 ,0,0,TWS
"TRIGGR Kraken X4 with 13mm Drivers, 40ms Latency, ENC, ...", Rs. 799 ,"20,710",4,TRIGGR
"boAt Rockerz 480 w/ Beast Mode, RGB LEDs(6 Light Modes)..."," Rs. 1,599 ","2,644",4.1,boAt
GUGGU SH12 Wireless (Portable Bluetooth Headphone) With..., Rs. 553 ,33,3.2,GUGGU
GUGGU P47(Bluetooth Headphone)Stylish Wireless(Foldable..., Rs. 425 ,"4,064",4,GUGGU
TWS Bluetooth Headset for Gaming with Rich Booming Bass..., Rs. 498 ,0,0,TWS
Caidea TW400 Aristo 32dB Active Noise Cancellation 75H*..., Rs. 449 ,815,3.6,Caidea
"boAt Rockerz 480 w/ Beast Mode, RGB LEDs(6 Light Modes)..."," Rs. 1,599 ","2,644",4.1,boAt
GUGGU SH12 Wireless (Portable Bluetooth Headphone) With..., Rs. 538 ,3,3.3,GUGGU
SYARA XJI_459S_P47 Over the head Bluetooth Headset Blue..., Rs. 510 ,"1,36,205",3.8,SYARA
GUGGU P47(Bluetooth Headphone)Stylish Wireless(Foldable..., Rs. 370 ,0,0,GUGGU
"TRIGGR Kraken X4 with 13mm Drivers, 40ms Latency, ENC, ...", Rs. 799 ,"20,710",4,TRIGGR
"boAt Rockerz 480 w/ Beast Mode, RGB LEDs(6 Light Modes)..."," Rs. 1,599 ","2,644",4.1,boAt
TWS Wireless Headphones for Gamers with Enhanced Bass R..., Rs. 447 ,"13,158",4.1,TWS
AIZINA HD Sound Bluetooth Headphones with Rotating Ear ..., Rs. 447 ,"4,064",4,AIZINA
TWS Gaming Bluetooth Headphones with Booming Intense Ba..., Rs. 447 ,0,0,TWS
Caidea TW400 Aristo 32dB Active Noise Cancellation 75H*..., Rs. 449 ,815,3.6,Caidea
"boAt Rockerz 480 w/ Beast Mode, RGB LEDs(6 Light Modes)..."," Rs. 1,599 ","2,644",4.1,boAt
TWS Gaming Bluetooth Headphones with Booming Intense Ba..., Rs. 495 ,"2,340",4,TWS
YAROH Wireless Bluetooth Stereo Headphone and Noise Can..., Rs. 632 ,"1,36,205",3.8,YAROH
"TWS On-Ear Wireless Headphones with HD Sound, Ergonomic...", Rs. 447 ,0,0,TWS
"TRIGGR Kraken X4 with 13mm Drivers, 40ms Latency, ENC, ...", Rs. 799 ,"20,710",4,TRIGGR
"boAt Rockerz 480 w/ Beast Mode, RGB LEDs(6 Light Modes)..."," Rs. 1,599 ","2,644",4.1,boAt
GUGGU NIZ47Headphone SH-12 Bluetooth Over The Ear Wirel..., Rs. 587 ,"13,158",4.1,GUGGU
GUGGU 12 Over the head Bluetooth Headset Bluetooth, Rs. 626 ,"4,064",4,GUGGU
FRONY Wireless Gaming Sports Headphones Stereo With SD ..., Rs. 366 ,0,0,FRONY
Caidea TW400 Aristo 32dB Active Noise Cancellation 75H*..., Rs. 449 ,815,3.6,Caidea
"boAt Rockerz 480 w/ Beast Mode, RGB LEDs(6 Light Modes)..."," Rs. 1,599 ","2,644",4.1,boAt
Signature vm46 Solo Hd Wired without Mic, Rs. 410 ,"2,124",3.3,Signature
Seashot N21 TWS Earphone Touch Control -compatible Spor..., Rs. 669 ,57,4,Seashot
RENTOOR BEST SALE P47 PORTABLE LIGHTWEIGHT THUMPING EXT..., Rs. 274 ,16,3.4,RENTOOR
"boAt Rockerz 480 w/ Beast Mode, RGB LEDs(6 Light Modes)..."," Rs. 1,599 ","2,644",4.1,boAt
"GOBOULT (previously Boult) Fluid X 60H Battery, 40mm Dr..."," Rs. 2,299 ","13,158",4.1,GOBOULT
"ZEBRONICS Thunder NEO (WHP 12), BT v5.4 l AUX, Upto 60h...", Rs. 999 ,17,4,ZEBRONICS
Sennheiser Accentum Wireless Over Ear Headphones Design...," Rs. 12,990 ",76,4.2,Sennheiser
electricbass headphones 700 bluetooth wirless support w...," Rs. 1,088 ",102,3.7,electricbass
Caidea TW400 Aristo 32dB Active Noise Cancellation 75H*..., Rs. 449 ,815,3.6,Caidea
"boAt Rockerz 480 w/ Beast Mode, RGB LEDs(6 Light Modes)..."," Rs. 1,599 ","2,644",4.1,boAt
ASUS TUF-GAMING-H3 Wired Gaming," Rs. 3,463 ",333,4.2,ASUS
KH DJ Stereo Headphone Wired Over Ear Headphones Wired," Rs. 2,295 ",14,4.6,KH
"Ovista OV130 Green colour earphone , wired Gaming heads...", Rs. 274 ,4,3.5,Ovista
"TRIGGR Kraken X4 with 13mm Drivers, 40ms Latency, ENC, ...", Rs. 799 ,"20,710",4,TRIGGR
"boAt Rockerz 480 w/ Beast Mode, RGB LEDs(6 Light Modes)..."," Rs. 1,599 ","2,644",4.1,boAt
"SACRO P9 Wireless, 5.1 Bluetooth Headphones Over Ear Wi...", Rs. 557 ,9,3,SACRO
JOKIN HEADPHONE with 2 PAIR GAMING GLOVES (multicolor) ..., Rs. 425 ,8,3.3,JOKIN
YAROH SH12 Premium (Bluetooth Headset) with Noise Cance..., Rs. 529 ,52,3.7,YAROH
Caidea TW400 Aristo 32dB Active Noise Cancellation 75H*..., Rs. 449 ,815,3.6,Caidea
"boAt Rockerz 480 w/ Beast Mode, RGB LEDs(6 Light Modes)..."," Rs. 1,599 ","2,644",4.1,boAt
Viraan MDR-XB450 On-Ear Extra BASS Headphones Wired, Rs. 404 ,72,3.7,Viraan
"Zohlo Wireless Headphones Good Bass, 8hr Battery, Cushi...", Rs. 648 ,27,3.9,Zohlo
Metaind Meta_MT30 Wired," Rs. 1,067 ",40,4,Metaind
"TRIGGR Kraken X4 with 13mm Drivers, 40ms Latency, ENC, ...", Rs. 799 ,"20,710",4,TRIGGR
"boAt Rockerz 480 w/ Beast Mode, RGB LEDs(6 Light Modes)..."," Rs. 1,599 ","2,644",4.1,boAt
Techpunch 100% BEST SOUND QUALITY BLUETOOTH HEADPHONE F..., Rs. 273 ,637,3.5,Techpunch
boAt Rockerz 413 Bluetooth," Rs. 1,399 ","3,94,028",4.3,boAt
IMMUTABLE NEW Fashion and colorful SH-12 headphone SDF1..., Rs. 560 ,27,4,IMMUTABLE
Caidea TW400 Aristo 32dB Active Noise Cancellation 75H*..., Rs. 449 ,815,3.6,Caidea
